4,5,-1
4,6,-1
3,4,-1
2,3,-1
2,7,-1
2,8,-1
1,2,-1
9,3,-1
9,10,-1
9,11,-1
1,9,-1
12,3,-1
12,10,-1
12,13,-1
1,12,-1
14,3,-1
14,10,-1
14,15,-1
1,14,-1
16,3,-1
16,10,-1
16,17,-1
1,16,-1
20,21,-1
20,6,-1
19,20,-1
18,19,-1
18,22,-1
18,23,-1
1,18,-1
24,19,-1
24,25,-1
24,26,-1
1,24,-1
27,19,-1
27,28,-1
27,29,-1
1,27,-1
30,19,-1
30,31,-1
30,32,-1
1,30,-1
33,19,-1
33,34,-1
33,11,-1
1,33,-1
35,19,-1
35,34,-1
35,13,-1
1,35,-1
36,19,-1
36,34,-1
36,15,-1
1,36,-1
37,19,-1
37,34,-1
37,17,-1
1,37,-1
38,19,-1
38,39,-1
38,40,-1
1,38,-1
41,19,-1
41,42,-1
41,43,-1
1,41,-1
44,19,-1
44,42,-1
44,45,-1
1,44,-1
46,19,-1
46,42,-1
46,47,-1
1,46,-1
48,19,-1
48,49,-1
48,50,-1
1,48,-1
51,19,-1
51,52,-1
51,53,-1
1,51,-1
54,19,-1
54,55,-1
54,56,-1
1,54,-1
59,60,-1
59,6,-1
58,59,-1
57,58,-1
57,61,-1
57,62,-1
1,57,-1
65,66,-1
65,6,-1
64,65,-1
63,64,-1
63,67,-1
63,26,-1
1,63,-1
68,64,-1
68,69,-1
68,11,-1
1,68,-1
70,64,-1
70,69,-1
70,13,-1
1,70,-1
71,64,-1
71,69,-1
71,15,-1
1,71,-1
72,64,-1
72,69,-1
72,17,-1
1,72,-1
73,64,-1
73,74,-1
73,43,-1
1,73,-1
75,64,-1
75,74,-1
75,45,-1
1,75,-1
76,64,-1
76,74,-1
76,47,-1
1,76,-1
79,80,-1
79,6,-1
78,79,-1
77,78,-1
77,81,-1
77,82,-1
1,77,-1
85,86,-1
85,6,-1
84,85,-1
83,84,-1
83,87,-1
83,88,-1
1,83,-1
89,84,-1
89,90,-1
89,91,-1
1,89,-1
92,84,-1
92,93,-1
92,94,-1
1,92,-1
97,98,-1
97,6,-1
96,97,-1
95,96,-1
95,99,-1
95,100,-1
1,95,-1
101,96,-1
101,102,-1
101,103,-1
1,101,-1
106,107,-1
106,6,-1
105,106,-1
104,105,-1
104,108,-1
104,109,-1
1,104,-1
